PDB,resolution,year,-logKd/Ki,Kd/Ki,ligand name
1c5x,1.75,2000,6.68,Ki=0.21uM,1c5x
1mai,1.90,1996,6.68,Kd=210nM,1mai
1oiu,2.00,2004,6.68,IC50=0.21uM,1oiu
1zeo,2.50,2006,6.68,IC50=0.21uM,1zeo
2cm7,2.10,2006,6.68,IC50=210nM,2cm7
2fqw,1.71,2006,6.68,Kd=210nM,2fqw
2iwx,1.50,2006,6.68,Kd=0.21uM,2cgf
2of2,2.00,2007,6.68,IC50=0.21uM,2of2
2ony,2.60,2007,6.68,Ki=210nM,2g70
2qbs,2.10,2008,6.68,Ki=0.21uM,2qbp
2qp6,1.45,2008,6.68,Ki=208nM,2qp6
2rcu,1.78,2007,6.68,IC50=210nM,2rcu
2wf0,1.60,2009,6.68,IC50=0.21uM,2wez
2wtd,2.75,2009,6.68,IC50=0.21uM,2wtc
3dab,1.90,2008,6.68,Kd=0.21uM,3dab
3ddq,1.80,2008,6.68,IC50=0.21uM,3ddp
3fhr,1.90,2009,6.68,IC50=210nM,3fhr
3ie3,1.80,2009,6.68,Kd=0.21uM,3gur
3lpf,2.26,2010,6.68,Ki=208nM,3k4d
3o75,2.30,2011,6.68,Kd=209nM,3o75
3qa2,2.52,2012,6.68,IC50=210nM,3qa2
3su1,1.40,2012,6.68,Ki=208nM,3su0
3ttj,2.10,2012,6.68,IC50=0.21uM,3ttj
3ws8,2.60,2014,6.68,IC50=210nM,3ws8
3zhx,2.00,2013,6.68,Kd=0.21uM,3zhx
4acm,1.63,2012,6.68,Ki=210nM,4acc
4ca8,1.99,2013,6.68,Ki=210nM,4ca5
4ew2,1.60,2013,6.68,Ki=0.21uM,4ew2
4h39,1.99,2012,6.68,IC50=0.21uM,4h36
4h4e,1.70,2013,6.68,IC50=0.21uM,4h4c
4l2g,2.05,2013,6.68,IC50=210nM,4bs4
4q6r,2.40,2014,6.68,IC50=0.21uM,4q6r
4qmz,1.88,2015,6.68,IC50=0.21uM,4qml
4rrs,1.80,2014,6.68,IC50=210nM,4r5n
4ttv,2.80,2015,6.68,IC50=209nM,4ttv
4wpn,1.95,2015,6.68,IC50=210nM,4wp7
5h0e,2.10,2017,6.68,IC50=210nM,5h09
5h6v,2.42,2017,6.68,IC50=208nM,5h6v
5l2w,2.80,2016,6.68,Kd=210nM,5l2i
5n8v,1.55,2017,6.68,Ki=0.207uM,5l87
5o4f,2.10,2017,6.68,Ki=208nM,5neb
5t90,2.80,2017,6.68,IC50=0.21uM,5t90
5wzv,2.20,2018,6.68,IC50=0.21uM,5wzo
5y0f,1.54,2018,6.68,Ki=0.21uM,5y0f
5y5t,1.80,2018,6.68,IC50=211nM,5y5t
6ayi,2.09,2017,6.68,Kd=0.21uM,6ayh
6bgw,1.64,2018,6.68,Kd=0.21uM,6bgu
6i96,1.85,2019,6.68,Kd=210nM,6i96
6mo2,2.80,2019,6.68,IC50=0.21uM,6mo0
2jew,1.40,2007,6.69,Ki=206nM,2jew
2xn5,1.70,2011,6.69,Kd=205nM,2xn3
3wf7,1.85,2014,6.69,IC50=206nM,3we4
4b4m,2.35,2012,6.69,IC50=0.205uM,4arw
4d8i,1.38,2012,6.69,IC50=205nM,4d8e
4mm6,3.10,2013,6.69,Ki=205nM,4mm4
5a6x,1.55,2016,6.69,Kd=202nM,5a6x
5alf,2.32,2015,6.69,IC50=0.204uM,5ai0
5ejv,2.58,2016,6.69,IC50=0.204uM,5ejv
5fs5,1.42,2016,6.69,Kd=206.4nM,5fs5
5ho6,1.97,2016,6.69,IC50=204nM,5hlw
5m0s,2.10,2017,6.69,IC50=0.202uM,5m0d
5yhe,2.47,2018,6.69,Kd=203.3nM,5yh8
5z66,1.80,2019,6.69,Kd=206nM,5z66
6ee4,1.58,2018,6.69,Ki=202nM,6ee4
1a09,2.00,1998,6.70,Kd=0.2uM,1a09
1a50,2.30,1999,6.70,Kd=0.2uM,1a50
1b0h,1.90,1998,6.70,Kd=0.20uM,1b0h
1b3g,2.00,1998,6.70,Kd=200nM,1b3g
1dfo,2.40,1999,6.70,Ki=0.2uM,1dfo
1eld,2.00,1995,6.70,Ki=0.20uM,1eld
1f3e,1.85,2000,6.70,Ki=0.2uM,1f3e
1fo3,1.75,2001,6.70,IC50=0.2uM,1fo3
1gca,1.70,1993,6.70,Kd=0.2uM,1gca
1hp0,2.10,2001,6.70,Ki=0.2uM,1hp0
1i7i,2.35,2002,6.70,IC50=0.2uM,1i7i
1jq3,1.80,2001,6.70,IC50=0.2uM,1jq3
1ke3,2.15,2002,6.70,Ki=0.20uM,1ke3
1kf6,2.70,2002,6.70,Ki=0.2uM,1kf6
1koj,1.90,2002,6.70,Ki=0.2uM,1koj
1lfo,2.30,1997,6.70,Kd~0.2uM,1lfo
1mwn,NMR,2002,6.70,Kd=200nM,1mwn
1nki,0.95,2004,6.70,Kd=0.2uM,1nki
1nms,1.70,2003,6.70,Ki=0.2uM,1nms
1p10,2.25,1990,6.70,Ki=200nM,1p10
1rdt,2.40,2004,6.70,Ki=200nM,1rdt
1rek,2.30,2004,6.70,Ki=200nM,1rek
1unl,2.20,2004,6.70,IC50=0.20uM,1unl
1xdd,2.20,2004,6.70,IC50=0.2uM,1xdd
1xr8,2.30,2005,6.70,Kd=200nM,1xr8
1z6q,2.03,2005,6.70,IC50=0.2uM,1z6q
2a5s,1.70,2005,6.70,Ki=0.2uM,2a5s
2emt,2.80,2008,6.70,Kd=201nM,2emt
2eum,2.30,2006,6.70,Kd=0.2uM,2eum
2evl,2.20,2006,6.70,Kd=0.2uM,2evl
2fwy,2.10,2006,6.70,IC50=200nM,2fwy
2is0,2.20,2006,6.70,IC50=200nM,2is0
2j2i,1.90,2007,6.70,IC50=200nM,2j2i
2kup,NMR,2010,6.70,Kd=0.2uM,2kup
2lcs,NMR,2012,6.70,Kd=0.2uM,2lcs
2lkk,NMR,2012,6.70,Kd=0.2uM,2lkk
2ow0,2.00,2007,6.70,IC50=201nM,2ovx
2oxx,2.30,2007,6.70,Ki=0.20uM,2oxd
2py4,1.49,2007,6.70,Kd=0.2uM,2py4
2va7,2.20,2007,6.70,IC50=0.20uM,2va5
2x7d,2.30,2010,6.70,IC50=200nM,2x7c
2xx5,2.00,2011,6.70,IC50=0.20uM,2xx2
3c7n,3.12,2008,6.70,Kd=0.2uM,3c7n
3eko,1.55,2008,6.70,Ki=0.2uM,3eko
3hzk,2.15,2010,6.70,Kd=0.2uM,3hzk
3ipb,1.90,2010,6.70,IC50=0.2uM,3ipb
3k3b,2.40,2009,6.70,IC50=0.2uM,3k3b
3mb7,1.65,2010,6.70,IC50=200nM,3ma3
3mhi,1.70,2010,6.70,Kd=0.2uM,3mhi
3oyl,2.54,2010,6.70,IC50=200nM,3oyb
3pck,2.13,1998,6.70,Kd=0.2uM,3pck
3pgu,1.70,2011,6.70,Kd=0.2uM,3pgu
3rk7,1.80,2012,6.70,IC50=0.2uM,3qqk
3sff,2.00,2011,6.70,IC50=200nM,3sff
3t60,2.40,2012,6.70,Ki=0.2uM,3t60
3t64,1.65,2012,6.70,Ki=0.2uM,3t60
3upf,2.60,2012,6.70,IC50=200nM,3upf
3zs0,2.30,2011,6.70,IC50=0.2uM,3zs0
4apr,2.50,1991,6.70,Ki=200nM,4apr
4azy,1.79,2012,6.70,IC50=198nM,4azy
4bo0,2.40,2013,6.70,IC50=0.20uM,4bnt
4ewn,1.90,2012,6.70,Kd=0.2uM,4ewn
4f09,2.40,2012,6.70,Ki=200nM,4ehz
4fns,2.60,2012,6.70,Ki=0.2uM,4fns
4hy0,2.84,2013,6.70,IC50=200nM,4hy0
4io2,1.37,2013,6.70,Kd=0.2uM,4io2
4jjs,2.20,2013,6.70,IC50=0.2uM,4jjs
4jyc,2.20,2013,6.70,Kd=0.20uM,4jyb
4jz1,1.90,2014,6.70,Ki=0.2uM,4jz1
4k4f,2.90,2013,6.70,IC50=0.20uM,4k4e
4lh5,2.19,2013,6.70,IC50=0.20uM,4lh5
4lkj,2.80,2013,6.70,Kd=0.20uM,4kol
4m13,1.85,2014,6.70,Kd=0.2uM,4m0y
4m14,1.55,2014,6.70,Kd=0.2uM,4m0y
4m7b,1.95,2014,6.70,IC50=0.2uM,4m7b
4mex,3.90,2014,6.70,IC50=0.2uM,4mex
4mue,2.06,2014,6.70,Kd=200nM,4mq6
4mw2,2.30,2014,6.70,IC50=198nM,4mvw
4o1l,2.50,2014,6.70,IC50=0.20uM,4o1g
4o2p,2.10,2015,6.70,Ki=0.20uM,4o2p
4os2,1.79,2014,6.70,Ki=0.20uM,4os1
4pyv,2.65,2014,6.70,IC50=200nM,4pyv
4qhc,1.90,2015,6.70,Ki=0.2uM,4qhc
4qta,1.45,2014,6.70,Kd~200nM,4qta
4qtb,1.40,2014,6.70,Kd~200nM,4qta
4tzm,2.30,2014,6.70,Kd=0.2uM,4tzm
4u5t,3.30,2014,6.70,IC50=0.2uM,4u5t
4uit,1.30,2015,6.70,IC50=0.2uM,4uit
4uns,2.18,2015,6.70,IC50=0.2uM,4unn
5ar4,2.70,2015,6.70,IC50=200nM,5ar3
5d75,1.83,2016,6.70,Ki=200nM,5d75
5dhj,2.46,2015,6.70,Ki=0.2uM,5dgz
5f2s,2.08,2016,6.70,IC50=0.2uM,5f2s
5g17,1.51,2017,6.70,Kd=0.2uM,5g17
5g5v,1.80,2018,6.70,Ki=199nM,5g2b
5i5x,1.65,2016,6.70,IC50=0.2uM,5i5x
5kcx,2.20,2017,6.70,IC50=0.2uM,5kcx
5l6j,2.68,2017,6.70,IC50=0.2uM,5l6h
5lc0,2.70,2016,6.70,IC50=0.20uM,5lc0
5mmn,1.90,2017,6.70,IC50<0.2uM,5mmn
5nvv,2.10,2017,6.70,Kd=200nM,5nvv
5tgc,3.25,2017,6.70,Kd=200nM,5tgc
5v1d,2.80,2018,6.70,Kd~0.2uM,5v1d
5v84,2.70,2017,6.70,IC50=0.20uM,5v84
5wys,3.00,2017,6.70,IC50=0.2uM,5wys
5y0g,1.54,2018,6.70,Ki=0.20uM,5y0f
5yzd,2.64,2018,6.70,IC50=0.2uM,5yxw
6c8p,1.64,2018,6.70,IC50=0.2uM,6apz
6ciy,1.68,2018,6.70,IC50=0.201uM,6cd4
6d28,1.75,2018,6.70,Kd=200nM,1qy5
6e13,2.35,2019,6.70,Kd~200nM,6e13
6e4w,3.35,2018,6.70,Kd=197.8nM,6e4t
6ebe,1.88,2018,6.70,Ki=0.20uM,6ebe
6eda,1.88,2018,6.70,Ki=0.20uM,6ebe
6f2n,1.15,2018,6.70,IC50=0.2uM,5jmx
6ftn,2.00,2018,6.70,IC50=199.5nM,6ftn
6fyi,2.60,2018,6.70,IC50=200nM,6fyi
6g5j,1.85,2018,6.70,IC50=0.2uM,6g5j
6i67,1.75,2019,6.70,Kd=201.4nM,6i61
6n9l,2.01,2019,6.70,Kd=0.2uM,6n9l
6nao,3.23,2018,6.70,Kd=0.2uM,5v8h
6ocq,2.79,2019,6.70,Kd=200nM,6ocq
6p5v,1.40,2019,6.70,IC50=0.2uM,6p5v
6phr,1.65,2019,6.70,Kd=0.2uM,6phr
6qgk,1.80,2019,6.70,Kd=0.2uM,6qfi
6rfn,2.29,2019,6.70,Ki=199.5nM,6gxq
6t6a,2.80,2019,6.70,IC50=0.20uM,6t6a
1w82,2.20,2005,6.71,IC50=196nM,1w82
2f94,1.94,2006,6.71,Ki=195nM,2f94
4cd5,1.10,2014,6.71,Ki=194nM,4cd4
4jrg,1.90,2013,6.71,IC50=196nM,4jrg
4og6,1.49,2014,6.71,IC50=197nM,4og3
4pvy,2.05,2015,6.71,Kd=197nM,4pvx
5kls,3.30,2016,6.71,IC50=194nM,5klb
5odx,1.82,2018,6.71,Kd=195nM,5lny
5op4,2.00,2017,6.71,Ki=0.194uM,5oop
5tt3,2.20,2017,6.71,Ki=193nM,5tt3
5u2f,2.53,2017,6.71,IC50=193nM,5u28
5z89,1.42,2018,6.71,Kd=195nM,5z89
5zk7,2.12,2019,6.71,Kd=195.2nM,5zk7
6bvb,2.00,2018,6.71,Kd=196nM,6bvb
6c9r,2.10,2019,6.71,IC50=196.5nM,6c67
6ee2,2.10,2018,6.71,Ki=195nM,6ee2
6ghh,1.90,2018,6.71,Kd=0.193uM,6ge7
6gi6,1.98,2018,6.71,IC50=0.194uM,6gi6
1n4m,2.20,2003,6.72,Kd=0.19uM,1n4m
1ov3,1.80,2003,6.72,Kd=0.19uM,1ov3
1rbp,2.00,1991,6.72,Kd=0.19uM,1rbp
2f3f,2.30,2006,6.72,IC50=0.19uM,2f3f
2jdu,1.50,2007,6.72,Kd=0.19uM,2jdu
2pjl,2.30,2007,6.72,IC50=190nM,2pjl
2rt5,NMR,2013,6.72,Kd=0.19uM,2rt5
2vpn,1.55,2008,6.72,Kd=0.19uM,2vpn
2w3o,1.85,2009,6.72,Kd=0.19uM,2w3o
2x8i,1.92,2010,6.72,IC50=0.19uM,2x8d
2xc0,2.05,2010,6.72,Ki=192nM,2xbv
2xne,2.80,2010,6.72,IC50=0.190uM,2xne
2zz6,1.66,2009,6.72,Ki=0.19uM,2zz1
3aqt,2.50,2011,6.72,Kd=0.19uM,3aqt
3bm9,1.60,2008,6.72,IC50=0.19uM,3bm9
3bxz,3.00,2008,6.72,Kd=0.19uM,3bxz
3diw,2.10,2008,6.72,Kd=0.19uM,3diw
3fun,1.58,2009,6.72,IC50=0.189uM,3fts
3g7l,2.20,2009,6.72,Kd=0.19uM,3g7l
3gst,1.90,1993,6.72,Ki=0.19uM,3gst
3kyr,2.60,2010,6.72,IC50=0.19uM,3kyr
3l4v,2.10,2010,6.72,Ki=0.19uM,3l4t
3l4z,2.00,2010,6.72,Ki=0.19uM,3l4t
4bb4,1.65,2013,6.72,IC50=190nM,4bb4
4djv,1.73,2012,6.72,Ki=0.19uM,4dju
4dv9,2.08,2013,6.72,IC50=189nM,4dv9
4dvi,1.90,2012,6.72,IC50=0.192uM,4dvi
4flp,2.23,2012,6.72,Kd=190.1nM,4flp
4h58,3.10,2013,6.72,IC50=0.192uM,4bb4
4i73,2.18,2013,6.72,Ki=190nM,4i71
4i74,1.68,2013,6.72,Ki=190nM,4i71
4lwc,1.61,2013,6.72,Kd=0.19uM,4luo
4o0a,1.20,2014,6.72,Kd=0.19uM,4o0a
4q4e,1.90,2015,6.72,IC50=0.19uM,4q4e
4raq,2.53,2015,6.72,Ki=0.19uM,4rab
4uia,2.18,2015,6.72,IC50=0.19uM,4uia
4xv9,2.00,2015,6.72,IC50=0.19uM,4xv1
5e1m,1.75,2015,6.72,Kd=189nM,5e1b
5fwg,2.00,1999,6.72,Kd=0.19uM,5fwg
5izk,3.25,2016,6.72,Kd=0.19uM,5izk
5j1w,2.42,2016,6.72,IC50=0.19uM,5j1v
5ng9,1.15,2017,6.72,Ki=191nM,5neb
5o58,1.55,2017,6.72,Kd=191nM,5o1u
5tqe,1.90,2017,6.72,Ki=190nM,5tqe
5ulg,2.10,2017,6.72,IC50=189nM,5ul5
5v3y,1.98,2017,6.72,IC50=0.19uM,5v3w
5vb7,2.34,2017,6.72,Ki=0.19uM,5vb5
5wa5,1.17,2018,6.72,Kd=192nM,5wa5
5ya5,1.89,2018,6.72,Kd=0.19uM,5ya5
5zhl,2.25,2019,6.72,Kd=0.19uM,5zhj
6dge,1.91,2018,6.72,Ki=0.19uM,6dge
6etj,2.51,2018,6.72,IC50=0.19uM,6etj
6fo5,.95,2018,6.72,Kd=0.19uM,6fnx
6ht8,2.50,2018,6.72,IC50=190nM,6hqy
6hu1,2.00,2018,6.72,IC50=191nM,6hqy
6kdi,2.70,2019,6.72,Kd=0.19uM,6kdh
6qr9,2.42,2019,6.72,Kd=190nM,6qr9
1jld,2.50,1997,6.73,IC50=185nM,1jld
1o6h,2.80,2003,6.73,IC50=186nM,1o6h
1wvj,1.75,2005,6.73,Ki=185nM,1wvj
1x7q,1.45,2005,6.73,IC50=186nM,1x7q
2cma,2.30,2006,6.73,IC50=185nM,2cma
2q8s,2.30,2008,6.73,IC50=0.185uM,2q8s
4a51,2.75,2012,6.73,Ki=185.8nM,4a50
4kby,2.36,2013,6.73,Kd=186nM,4kby
4mx0,2.10,2013,6.73,IC50=184.7nM,4mwq
4pum,1.93,2014,6.73,Kd=188.1nM,4puj
4r5b,1.50,2014,6.73,Ki=185nM,4r59
4w9h,2.10,2014,6.73,Kd=0.185uM,4w9c
5aly,1.90,2015,6.73,IC50=0.1845uM,5ai0
5am6,1.96,2015,6.73,Kd=185nM,5am6
5gvm,2.24,2017,6.73,Kd=186nM,5gvk
5i8p,2.37,2016,6.73,Kd=185nM,5i8p
5ia0,1.95,2016,6.73,Kd=187nM,5i9v
5js3,1.16,2016,6.73,Kd=0.185uM,5js3
6oyz,3.62,2019,6.73,IC50=185nM,6oyh
1add,2.40,1994,6.74,Ki=0.18uM,1add
1r5h,2.40,2004,6.74,IC50=0.18uM,1r5h
1tmb,2.30,1994,6.74,Ki=0.18uM,1tmb
1usi,1.80,2003,6.74,Kd=0.18uM,1usi
2azc,2.01,2006,6.74,IC50=183nM,2azc
2p3d,2.80,2007,6.74,Ki=180nM,2p3a
2pax,2.40,1998,6.74,IC50=0.18uM,2pax
2uzd,2.72,2007,6.74,IC50=0.18uM,2uzb
2vex,2.20,2007,6.74,IC50=180nM,2veu
2vj9,1.60,2008,6.74,IC50=180nM,2vie
2wxf,1.90,2010,6.74,IC50=180nM,2wxf
2x91,1.98,2010,6.74,Ki=180nM,2x8y
2x9e,3.10,2010,6.74,IC50=0.182uM,2x9e
2zc9,1.58,2008,6.74,Ki=180nM,2zc9
2zgx,1.80,2008,6.74,Ki=180nM,2zc9
3anq,2.60,2010,6.74,Ki=0.18uM,3anq
3dgo,2.50,2009,6.74,Kd=180nM,3dgl
3fh8,1.67,2010,6.74,IC50=180nM,3fh5
3fzy,1.95,2009,6.74,Kd=0.18uM,3fzy
3heg,2.20,2009,6.74,Kd=0.18uM,3hec
3hng,2.70,2009,6.74,IC50=0.18uM,3hng
3m67,1.80,2010,6.74,Kd=0.18uM,3m67
3mv5,2.47,2010,6.74,IC50=180nM,3mv5
3n6k,2.25,2010,6.74,Kd=180nM,3n1v
3oim,1.45,2011,6.74,Ki=180nM,3oim
3pdh,1.80,2011,6.74,Kd=183nM,3pdh
3pdq,1.99,2011,6.74,IC50=180nM,3pdq
3q6s,1.93,2011,6.74,Kd=0.18uM,3q6s
3r21,2.90,2011,6.74,IC50=0.18uM,3r21
3s0n,1.95,2011,6.74,IC50=180nM,3s0n
3wav,1.80,2013,6.74,IC50=180nM,3wav
3zm5,2.94,2013,6.74,IC50=0.18uM,3zm5
4bo6,2.80,2013,6.74,IC50=0.18uM,4bnt
4ca6,1.91,2013,6.74,Ki=180nM,4ca5
4cy1,1.50,2014,6.74,Kd=181nM,4cy1
4ew3,1.70,2013,6.74,Ki=0.18uM,4ew2
4f9y,1.85,2013,6.74,Kd=184nM,4f9w
4hwr,1.90,2013,6.74,Ki=182nM,4hwo
4j0t,2.05,2013,6.74,IC50=0.184uM,3zlq
4lg6,1.80,2013,6.74,Kd=0.18uM,4lg6
4lxz,1.85,2013,6.74,Kd=0.182uM,4lxz
4odn,1.60,2015,6.74,Kd=0.183uM,4odk
4oyk,2.00,2014,6.74,Kd=0.18uM,4oyk
4p4e,1.67,2015,6.74,IC50=180nM,4p44
4rxz,1.55,2015,6.74,Kd=181nM,4rxz
4wlb,1.70,2014,6.74,IC50=0.18uM,4wlb
4wmu,1.55,2015,6.74,Kd=0.18uM,4wmr
4ylk,1.40,2015,6.74,IC50=0.18uM,4ylj
4zpf,1.80,2015,6.74,IC50=0.18uM,4zpe
5fv7,2.84,2016,6.74,Kd=182nM,5fv7
5ih8,1.85,2016,6.74,IC50=0.18uM,5ih8
5j27,1.70,2017,6.74,Kd=180nM,5j20
5nk2,1.65,2017,6.74,Kd=182nM,5njz
5u7m,3.03,2017,6.74,Kd=180nM,5u7m
5uzk,2.30,2018,6.74,Ki=180nM,5uzj
5wew,3.18,2018,6.74,Kd=180nM,5wep
5x73,2.50,2017,6.74,Kd=184nM,5x72
5xsu,2.40,2018,6.74,Kd=180nM,5xsr
5yr5,1.60,2018,6.74,Ki=0.18uM,5yr5
5yu9,1.95,2017,6.74,Kd=0.18uM,5yu9
5za9,1.62,2018,6.74,Ki=183nM,5za7
5zyk,1.55,2019,6.74,Kd=0.18uM,5zyk
6ai9,2.09,2019,6.74,Kd=0.18uM,6ai9
6bgv,1.59,2018,6.74,Kd=0.18uM,6bgu
6di1,1.10,2018,6.74,IC50=180nM,6di0
6htz,1.84,2018,6.74,IC50=183nM,6hqy
6i66,1.60,2019,6.74,Kd=182.5nM,6i61
6i8y,1.52,2018,6.74,Kd=180nM,6i8b
6md7,1.96,2019,6.74,IC50=0.181uM,6md7
6oko,2.10,2019,6.74,IC50=0.18uM,6oko
6qqz,1.70,2019,6.74,Kd=0.18uM,6qqz
6uim,2.75,2019,6.74,IC50=180nM,6ufn
1cx9,2.30,1999,6.75,IC50=178nM,1cx9
1h5u,1.76,2001,6.75,IC50=178nM,1h5u
3ekq,2.20,2009,6.75,Kd=176.0nM,3ekp
3ikd,2.00,2009,6.75,Ki=0.179uM,3ikd
4ci2,2.95,2014,6.75,Kd=177.8nM,4ci1
4cwt,1.90,2014,6.75,Ki=0.179uM,4cwf
6fa5,2.30,2018,6.75,Kd=179nM,6fa5
6faa,1.97,2018,6.75,Kd=179nM,6fa5
6fac,2.05,2018,6.75,Kd=179nM,6fa5
1rw8,2.40,2005,6.76,IC50=0.175uM,1rw8
1w22,2.50,2004,6.76,IC50=175.5nM,1w22
2on6,2.50,2007,6.76,Ki=172nM,2oc4
3ard,3.01,2011,6.76,Kd=175nM,3arb
4b4g,2.50,2012,6.76,IC50=0.175uM,4arw
4dce,2.03,2012,6.76,IC50=0.174uM,4dce
4fn5,2.90,2012,6.76,Kd=173nM,4fn5
4hlc,1.55,2012,6.76,IC50=174nM,4hlc
4jg0,1.81,2013,6.76,Kd=172nM,4jfx
4jzf,1.84,2013,6.76,IC50=0.175uM,4jzd
4pvx,2.18,2015,6.76,Kd=172nM,4pvx
5jmw,1.55,2016,6.76,IC50=0.175uM,5jaz
5klt,2.60,2016,6.76,Kd=175nM,5klr
5nr8,1.35,2018,6.76,IC50=175nM,5nr8
5q0u,1.90,2017,6.76,IC50=0.175uM,5q0i
5wa9,1.15,2017,6.76,Kd=0.175uM,5kly
6e7x,2.58,2019,6.76,Kd=175nM,6e7x
6f9v,1.69,2018,6.76,Ki=171.9nM,6f9r
1bkj,1.80,1999,6.77,Kd=0.17uM,1bkj
1bzh,2.10,1999,6.77,Ki=0.17uM,1bzh
1hk2,2.80,2003,6.77,Kd=0.17uM,1hk2
1mqd,1.46,2003,6.77,IC50=0.17uM,1mqd
1ms7,1.97,2003,6.77,IC50=0.17uM,1ms7
1o30,1.55,2003,6.77,Ki=0.17uM,1o30
1o3j,1.40,2003,6.77,Ki=0.17uM,1o3j
1o3k,1.43,2003,6.77,Ki=0.17uM,1o3k
1om1,1.68,2004,6.77,Ki=0.17uM,1om1
1ony,2.15,2003,6.77,Ki=0.17uM,1ony
1qb1,1.80,2000,6.77,Ki=170nM,1qb1
1y19,2.60,2005,6.77,Kd=170nM,1y19
2c1a,1.95,2005,6.77,IC50=0.17uM,2c1a
2hyy,2.40,2007,6.77,IC50=170nM,2hyy
2jdt,2.15,2007,6.77,IC50=0.17uM,2jdt
2piz,1.60,2008,6.77,IC50=170nM,2piy
2rvn,NMR,2016,6.77,Kd=0.17uM,2rvn
2vo7,1.98,2008,6.77,IC50=168nM,2vnw
2w10,1.90,2009,6.77,Kd=170nM,2vwf
2x2m,2.50,2010,6.77,IC50=0.17uM,2x2k
2xb9,2.75,2010,6.77,Ki=0.17uM,2xb8
3evf,1.45,2009,6.77,Ki=170nM,3eva
3fas,1.40,2008,6.77,Ki=171nM,3fas
3fvn,1.50,2010,6.77,Ki=169nM,2zns
3gjt,2.20,2009,6.77,Ki=170nM,3gjq
3ine,2.00,2010,6.77,IC50=0.17uM,3ind
3m40,1.60,2010,6.77,Kd=0.17uM,3m40
3zcz,2.60,2013,6.77,Ki=0.17uM,3zcz
4cwp,1.95,2014,6.77,Ki=0.170uM,4cwf
4gj7,2.80,2013,6.77,IC50=0.17uM,4gj5
4hlm,1.95,2012,6.77,IC50=0.17uM,4hki
4i10,2.07,2013,6.77,IC50=0.17uM,4hzt
4j8t,2.05,2013,6.77,Kd=168nM,4j8t
4loi,1.89,2013,6.77,Kd=0.17uM,4loh
4nzo,1.90,2014,6.77,Kd=0.17uM,4nzm
4p4f,1.86,2015,6.77,IC50=168nM,4p44
4x48,1.89,2015,6.77,Ki=170nM,4x48
4x63,3.05,2015,6.77,Kd=171nM,4x60
4zup,1.42,2015,6.77,IC50=0.17uM,4zum
5ayt,1.40,2016,6.77,Ki=0.17uM,5ayt
5c26,1.95,2015,6.77,IC50=0.17uM,5c26
5ecv,2.09,2016,6.77,IC50=0.17uM,5c7v
5eue,2.83,2016,6.77,IC50=0.17uM,5eud
5fh8,1.55,2016,6.77,Kd=170nM,5fh6
5htb,1.70,2016,6.77,Kd=170nM,5htb
5jrq,2.29,2016,6.77,IC50=169nM,5jrq
5khi,2.10,2016,6.77,Kd=0.17uM,5khg
5mi5,2.15,2017,6.77,Kd=170nM,5mi4
5ngs,1.85,2017,6.77,IC50=0.17uM,5ngr
5nvw,2.20,2017,6.77,Kd=170nM,5nvv
5nvz,2.70,2017,6.77,Kd=170nM,5nvv
5ugh,2.06,2017,6.77,Kd=170nM,5ugh
6g2o,1.81,2019,6.77,Kd=170nM,6g24
6h0u,2.30,2019,6.77,IC50=0.17uM,6h0u
6mhb,2.75,2019,6.77,IC50=0.17uM,6mhb
3fal,2.36,2009,6.78,IC50=165nM,3fal
3gcu,2.10,2009,6.78,Kd=165nM,3gcp
3kyf,2.10,2010,6.78,Kd=165.0nM,3kyf
3l9l,2.00,2011,6.78,IC50=167nM,3l9l
4hnp,2.80,2014,6.78,IC50=164.5nM,4hnp
4kqo,2.31,2013,6.78,IC50=166nM,4kqo
4ui5,1.65,2016,6.78,IC50=167nM,4ufu
4wy7,2.10,2015,6.78,Kd=167nM,4wy7
5ahu,2.69,2015,6.78,Kd=167nM,5ael
5gvp,2.26,2017,6.78,Kd=165nM,5gvk
5mte,1.40,2017,6.78,Ki=167nM,5mte
5uzj,3.30,2018,6.78,Ki=165nM,5uzj
5yh8,2.12,2018,6.78,Kd=167.8nM,5yh8
5zaf,1.65,2018,6.78,Ki=166nM,5za7
6cho,1.85,2018,6.78,IC50=167nM,6chl
6e3s,3.00,2019,6.78,Kd=167nM,6e3s
6ega,2.51,2019,6.78,IC50=165.1nM,6eg9
6g7a,1.42,2019,6.78,Kd=167nM,6g5l
6ohu,3.53,2019,6.78,IC50=165nM,6oht
6sbt,2.30,2019,6.78,Ki=0.166uM,6sbt
2rcb,1.62,2008,6.79,Kd=163nM,2rc8
3su0,1.16,2012,6.79,Ki=162nM,3su0
4i9s,2.58,2013,6.79,Kd=162nM,4i9r
4l31,2.00,2013,6.79,IC50=162nM,4bs4
4ogj,1.65,2014,6.79,Kd=164nM,4ogi
4wkv,2.14,2014,6.79,Ki=0.161uM,4wks
4xnv,2.20,2015,6.79,Ki=161nM,4xnv
5dy5,1.95,2016,6.79,IC50=0.163uM,5dy5
5nrf,1.45,2018,6.79,IC50=163nM,5nr8
5uga,1.82,2017,6.79,Ki=161nM,5ug8
5ugb,2.53,2017,6.79,Ki=161nM,5ug8
5y94,2.00,2018,6.79,Kd=164nM,5y8c
6s4n,1.90,2019,6.79,Ki=162nM,6s4n
1bl6,2.50,1999,6.80,IC50=0.16uM,1bl6
